play_type,wp,wpa,off_score,def_score,down,yards_to_go,yardline,yardline_text,quarter,seconds_left,week,home_team,away_team,offense_team,defense_team,offense_team_abbrev,defense_team_abbrev,offense_won,season_year,play_result,description,player_ids_string
Pass,52.94365659180001,-4.64948366748,0,0,1,10,10,Opp 40,Q1,396,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,Sack,(6:36) T.Brady sacked at ATL 48 for -8 yards (C.Upshaw).,"00-0029252,00-0019596"
Penalty,93.59437848820001,0,13,0,0,0,35,Opp 15,Q2,528,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,,"(Kick formation) PENALTY on NE-S.McClellin, Illegal Formation, 5 yards, enforced at NE 15 - No Play.",00-0029250
Pass,56.46650173060001,2.6613285091999996,0,0,2,1,-29,Own 21,Q1,265,21,Atlanta Falcons,New England Patriots,Atlanta Falcons,New England Patriots,ATL,NE,False,2016,First Down,"(4:25) (Shotgun) M.Ryan pass short left to P.DiMarco to ATL 31 for 10 yards (P.Chung, L.Ryan) [D.Hightower].","00-0028581,00-0026143,00-0027010,00-0029669,00-0030411"
Pass,52.94365659180001,2.64389392004,28,28,1,10,-5,Own 45,OT,839,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(13:59) (Shotgun) T.Brady pass short left to C.Hogan to ATL 37 for 18 yards (K.Neal; D.Jones).,"00-0028237,00-0019596,00-0032388,00-0032382"
Pass,4.296575298860001,6.93889390391e-16,0,21,1,10,21,Opp 29,Q2,59,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(:59) (Shotgun) T.Brady pass short right to C.Hogan to ATL 21 for 8 yards (K.Neal).,"00-0028237,00-0019596,00-0032382"
Pass,47.9024108048,1.47752911549,0,0,1,10,-25,Own 25,Q1,562,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(9:22) T.Brady pass short left to C.Hogan to NE 40 for 15 yards (J.Collins).,"00-0028237,00-0019596,00-0031552"
Pass,15.8638097066,5.47950992781,20,28,3,10,-41,Own 9,Q4,197,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,First Down,(3:17) (Shotgun) T.Brady pass short right to C.Hogan to NE 25 for 16 yards (J.Collins).,"00-0028237,00-0019596,00-0031552"
Pass,16.687864520799998,-0.8240548141749999,20,28,2,10,-41,Own 9,Q4,204,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(3:24) (Shotgun) T.Brady pass incomplete deep right to C.Hogan.,"00-0028237,00-0019596"
Pass,4.79235146097,-0.276065742167,3,21,1,10,-3,Own 47,Q3,787,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(13:07) (Shotgun) T.Brady pass incomplete deep left to C.Hogan.,"00-0028237,00-0019596"
Pass,4.296575298860001,0,0,21,2,2,29,Opp 21,Q2,33,21,Atlanta Falcons,New England Patriots,New England Patriots,Atlanta Falcons,NE,ATL,True,2016,,(:33) (Shotgun) T.Brady pass incomplete short right to C.Hogan.,"00-0028237,00-0019596"
